PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
38	Unknown	187	0.1678167	0.5997	1.0319	32.82771	33.78969	34.63142	266.7337	720.5757	1246.667	45655.79	719.481	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.93333	720.48285:1060 721.49493:261	719.48102:20452 720.48297:8142 721.48602:2041 722.48901:371
39	Unknown	13	0.1678167	0.5997	0.9926667	-1	-1	-1	-1	746.6786	450	3291.508		[M-H]-	M + 1	isotope of 53	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9	746.49902:12263 747.51031:6501 748.51288:1685 749.51605:383	
40	Unknown	192	0.1678167	0.5997	0.9926667	33.66944	34.39093	35.23266	271.3014	746.6786	318.3333	10071.97	745.498	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.366667	746.49902:1346 747.51031:571 748.51288:154	738.46198:37 745.46997:600 745.49799:20199 746.49902:10361 747.51001:5203 748.513:1441
41	Unknown	13	0.12825	0.5997	1.071133	-1	-1	-1	-1	759.5181	1154.667	9701.431		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	23.09333	759.49908:228	
42	Unknown	196	0.12825	0.5997	1.071133	34.03019	34.87192	35.8339	275.0111	759.5181	763.3333	29350.12		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.26667	759.51813:69	745.49786:265 746.49902:120 747.51978:208 748.52234:100 756.5191:35
43	Unknown	13	0.08901667	0.5997	1.228383	-1	-1	-1	-1	772.5056	3746.667	42991.49		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	74.93333	772.48639:166 772.50562:1705 773.52472:1610 774.52533:1040 775.53613:419	
44	Unknown	196	0.08901667	0.5997	1.228383	33.78969	34.87192	36.0744	274.9288	772.5056	2353.333	103187.2	772.515	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	47.06667	772.50562:214 773.52472:100 774.52533:55	745.49799:48 746.49902:492 756.51898:123 772.48602:72 772.51501:1432 773.52502:0 774.51599:138
45	Unknown	14	0.08901667	0.6389167	1.228383	-1	-1	-1	-1	228.2026	4501.333	49748.26		[M-H]-	M + 1	isotope of 74	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	90.02666	228.20258:2249 229.20667:367	
46	Unknown	72	0.08901667	0.6389167	1.228383	18.75869	19.72067	21.16365	161.8564	228.2026	4069	133410.3	228.203	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	81.38	228.20258:539	227.19:278 227.201:4209 228.203:701
47	Unknown	14	0.08901667	0.6389167	1.18915	-1	-1	-1	-1	228.2078	4406	47547.34		[M-H]-	M + 1	isotope of 75	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	88.12	228.20258:2234	
