"PrecursorName.Replicate","PrecursorName","Label","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","featTarget","Total.Area","Precursor.Mz","Precursor.SignalToNoise","CountFragments"
"xxx13988.Pput_Muck_2224_IMS_5ul_R3_09_20V_redo_12Sep","xxx13988","decoy",0.682354800471199,0.181842422626478,-2.77555756156289e-17,0.19989580619246,-0.0925,46.5689810925685,31.45,7.23095032824601e-05,13988,772658,293.17157,371201,4
"xxx13988.Pput_Muck_5042_IMS_5ul_R1_10_20V_redo_12Sep","xxx13988","decoy",0.670269121165081,0.10633281086601,0.0666666666666666,0.208462626546503,-0.111666666666667,51.0387957015706,36.9333333333333,2.39987676974484e-06,13988,961127,293.17157,454988,6
"xxx13988.Pput_Muck_5042_IMS_5ul_R2_11_20V_redo_12Sep","xxx13988","decoy",0.132539857900448,0.0993310961716756,0.113333333333333,0.221306725308262,-0.158333333333333,57.4875870659629,28.8666666666667,6.54039366065296e-05,13988,781010,293.17157,342723,6
"xxx14099.Pput_Muck_2224_IMS_5ul_R2_08_40V_12Sep","xxx14099","decoy",0.869521251806382,0.115470053837925,0.133333333333333,0.160934769394311,0.01,47.244611685708,49.4666666666667,2.72933271357523e-06,14099,10278,294.89117,5664,3
"xxx14099.Pput_Muck_5042_IMS_5ul_R1_10_40V_12Sep","xxx14099","decoy",0.967011765239131,0.175594229214213,0.343333333333333,0.36428011200174,0.21,47.7560816371416,49.4333333333333,0.00699359359465951,14099,35320,294.89117,20.3416779431664,3
"xxx14151.Pput_Muck_2224_IMS_5ul_R1_07_20V_redo_12Sep","xxx14151","decoy",0.982663011401728,0.114418821295566,0.1125,0.214009345590327,-0.13,37.4981221752059,46.825,8.57611328054157e-05,14151,845683,294.98026,4837,4
"xxx14151.Pput_Muck_2224_IMS_5ul_R2_08_20V_redo_12Sep","xxx14151","decoy",0.978488397822257,0.119958326097024,0.075,0.117075474232081,-0.0366666666666667,38.4723667065077,32.85,0.000351266304187689,14151,161685,294.98026,8820,6
"xxx14596.Pput_CJ019_WT_IMS_5ul_R1_01_20V_redo_12Sep","xxx14596","decoy",0.57289877140003,0.06,0.09,0.191898410623955,0.0075,46.5248320792241,31,1.34616081851279e-05,14596,327917,301.15335,58046,4
"xxx14768.Pput_CJ019_WT_IMS_5ul_R2_02_40V_12Sep","xxx14768","decoy",0.209513597025316,0.0923760430703402,0.106666666666667,0.109696551146029,-0.146666666666667,41.4537493278151,76.0666666666667,8.38059861587393e-05,14768,10666,304.05884,5158,3
"xxx14768.Pput_Muck_1642_IMS_5ul_R2_05_20V_redo_12Sep","xxx14768","decoy",0.0668135867657853,0.0670820393249938,0.12,0.10733126291999,-0.192,31.752165280497,85.8,0.000831643138731773,14768,158340,304.05884,5750,5
