Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Ion Mobility MS1,Ion Mobility Fragment,Collisional Cross Section,Area,Total Area,Height,Background,Mass Error PPM,Fwhm,Explicit Ion Mobility High Energy Offset,Explicit Retention Time
01_malic acid,Standards,CJ019_WT_IMS_5ul_R3_03_40V,133.014247,-1,89.02312,-1,89ref,1.86,13.64,13.53,116.25,0,79721,0,0,#N/A,0.59,-0.11252064,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R2_05_20V_redo,133.014247,-1,89.02312,-1,89ref,1.89,13.64,13.53,116.25,0,379280,0,0,#N/A,0.63,-0.11252064,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R2_05_40V,133.014247,-1,89.02312,-1,89ref,1.89,13.64,13.53,116.25,0,315115,0,0,#N/A,0.59,-0.11252064,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R3_06_20V_redo,133.014247,-1,89.02312,-1,89ref,1.85,13.64,13.53,116.25,0,219878,0,0,#N/A,0.67,-0.11252064,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R3_06_40V,133.014247,-1,89.02312,-1,89ref,1.85,13.64,13.53,116.25,0,155342,0,0,#N/A,0.67,-0.11252064,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R1_07_20V_redo,133.014247,-1,89.02312,-1,89ref,2.17,13.64,13.53,116.25,364,291286,54,0,-9,0.12,-0.11252064,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R1_07_40V,133.014247,-1,89.02312,-1,89ref,1.89,13.64,13.53,116.25,0,188339,0,0,#N/A,0.59,-0.11252064,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R2_08_20V_redo,133.014247,-1,89.02312,-1,89ref,1.85,13.64,13.53,116.25,0,264889,0,0,#N/A,0.71,-0.11252064,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R2_08_40V,133.014247,-1,89.02312,-1,89ref,1.93,13.64,13.53,116.25,0,237139,0,0,#N/A,0.59,-0.11252064,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R3_09_20V_redo,133.014247,-1,89.02312,-1,89ref,1.85,13.64,13.53,116.25,0,250099,0,0,#N/A,0.78,-0.11252064,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R3_09_40V,133.014247,-1,89.02312,-1,89ref,1.89,13.64,13.53,116.25,0,183066,0,0,#N/A,0.59,-0.11252064,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R1_10_20V_redo,133.014247,-1,89.02312,-1,89ref,2.24,13.64,13.53,116.25,998,207562,126,0,16.4,0.12,-0.11252064,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R1_10_40V,133.014247,-1,89.02312,-1,89ref,1.77,13.64,13.53,116.25,0,163608,0,0,#N/A,0.67,-0.11252064,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R2_11_20V_redo,133.014247,-1,89.02312,-1,89ref,2.05,13.64,13.53,116.25,508,145799,72,0,-8.8,0.12,-0.11252064,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R2_11_40V,133.014247,-1,89.02312,-1,89ref,1.86,13.64,13.53,116.25,0,85651,0,0,#N/A,0.63,-0.11252064,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R3_12_20V_redo,133.014247,-1,89.02312,-1,89ref,2.13,13.64,13.53,116.25,864,124126,122,0,4.5,0.12,-0.11252064,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R3_12_40V,133.014247,-1,89.02312,-1,89ref,2.02,13.64,13.53,116.25,0,61569,0,0,#N/A,0.43,-0.11252064,2.2
03_cis-aconitic acid,Standards,CJ019_WT_IMS_5ul_R1_01_20V_redo,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,17776,38793,1850,0,-14,0.14,-0.017301648,2
03_cis-aconitic acid,Standards,CJ019_WT_IMS_5ul_R1_01_40V,173.009162,-1,173.009162,-1,precursor,1.94,14.93,14.76,124.63,11594,11594,1513,0,-2.3,0.11,-0.017301648,2
03_cis-aconitic acid,Standards,CJ019_WT_IMS_5ul_R2_02_20V_redo,173.009162,-1,173.009162,-1,precursor,1.9,14.93,14.76,124.63,7430,29864,594,0,-30.5,0.21,-0.017301648,2
03_cis-aconitic acid,Standards,CJ019_WT_IMS_5ul_R2_02_40V,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,10903,11088,1814,0,-5.6,0.11,-0.017301648,2
03_cis-aconitic acid,Standards,CJ019_WT_IMS_5ul_R3_03_20V_redo,173.009162,-1,173.009162,-1,precursor,1.97,14.93,14.76,124.63,14636,39203,1353,0,-13.6,0.13,-0.017301648,2
03_cis-aconitic acid,Standards,CJ019_WT_IMS_5ul_R3_03_40V,173.009162,-1,173.009162,-1,precursor,1.97,14.93,14.76,124.63,10965,10965,1321,0,-17.8,0.13,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_1642_IMS_5ul_R2_05_20V_redo,173.009162,-1,173.009162,-1,precursor,1.97,14.93,14.76,124.63,850,23396,93,0,21.1,0.12,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_1642_IMS_5ul_R2_05_40V,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,8180,8378,1429,172,12.4,0.1,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_1642_IMS_5ul_R3_06_20V_redo,173.009162,-1,173.009162,-1,precursor,2.25,14.93,14.76,124.63,5284,30219,622,0,-30.6,0.06,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_1642_IMS_5ul_R3_06_40V,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,860,2082,379,1222,28.9,0.04,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_2224_IMS_5ul_R1_07_20V_redo,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,13985,36974,1244,0,-16.8,0.18,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_2224_IMS_5ul_R1_07_40V,173.009162,-1,173.009162,-1,precursor,1.97,14.93,14.76,124.63,2058,2058,956,112,-1.3,0.02,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_2224_IMS_5ul_R2_08_20V_redo,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,12172,34124,1234,603,1.1,0.12,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_2224_IMS_5ul_R2_08_40V,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,408,408,110,0,70.4,0.06,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_2224_IMS_5ul_R3_09_20V_redo,173.009162,-1,173.009162,-1,precursor,2.28,14.93,14.76,124.63,6537,21976,1260,6846,-3.2,0.06,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_2224_IMS_5ul_R3_09_40V,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,189,189,106,0,38.5,0.03,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_5042_IMS_5ul_R1_10_20V_redo,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,905,23309,219,4668,-18.8,0.07,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_5042_IMS_5ul_R1_10_40V,173.009162,-1,173.009162,-1,precursor,1.93,14.93,14.76,124.63,3028,3205,595,461,-49.2,0.05,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_5042_IMS_5ul_R2_11_20V_redo,173.009162,-1,173.009162,-1,precursor,2.25,14.93,14.76,124.63,11912,32076,762,0,-33.5,0.47,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_5042_IMS_5ul_R2_11_40V,173.009162,-1,173.009162,-1,precursor,1.94,14.93,14.76,124.63,2257,2257,228,0,-27.6,0.13,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_5042_IMS_5ul_R3_12_20V_redo,173.009162,-1,173.009162,-1,precursor,2.21,14.93,14.76,124.63,3623,21565,678,1932,-53.1,0.09,-0.017301648,2
03_cis-aconitic acid,Standards,Muck_5042_IMS_5ul_R3_12_40V,173.009162,-1,173.009162,-1,precursor,1.94,14.93,14.76,124.63,15078,15078,1152,0,-28.8,0.28,-0.017301648,2
03_cis-aconitic acid,Standards,CJ019_WT_IMS_5ul_R1_01_20V_redo,173.009162,-1,129.01831,-1,129ref,2.01,14.93,14.76,124.63,772,38793,124,0,3.8,0.1,-0.093583741,2
