"PrecursorName","Replicate","Total.Area"
"11_fumaric acid","CJ019_WT_IMS_5ul_R3_03_40V",18579
"11_fumaric acid","Muck_1642_IMS_5ul_R2_05_20V_redo",45204
"11_fumaric acid","Muck_1642_IMS_5ul_R2_05_40V",38974
"11_fumaric acid","Muck_1642_IMS_5ul_R3_06_20V_redo",35486
"11_fumaric acid","Muck_1642_IMS_5ul_R3_06_40V",30028
"11_fumaric acid","Muck_2224_IMS_5ul_R1_07_20V_redo",32754
"11_fumaric acid","Muck_2224_IMS_5ul_R1_07_40V",29897
"11_fumaric acid","Muck_2224_IMS_5ul_R2_08_20V_redo",33839
"11_fumaric acid","Muck_2224_IMS_5ul_R2_08_40V",51743
"11_fumaric acid","Muck_2224_IMS_5ul_R3_09_20V_redo",32120
"11_fumaric acid","Muck_2224_IMS_5ul_R3_09_40V",32055
"11_fumaric acid","Muck_5042_IMS_5ul_R1_10_20V_redo",34910
"11_fumaric acid","Muck_5042_IMS_5ul_R1_10_40V",34120
"11_fumaric acid","Muck_5042_IMS_5ul_R2_11_20V_redo",47418
"11_fumaric acid","Muck_5042_IMS_5ul_R2_11_40V",36474
"11_fumaric acid","Muck_5042_IMS_5ul_R3_12_20V_redo",38792
"11_fumaric acid","Muck_5042_IMS_5ul_R3_12_40V",32871
"12_pyruvic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",0
"12_pyruvic acid","CJ019_WT_IMS_5ul_R1_01_40V",0
"12_pyruvic acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",0
"12_pyruvic acid","CJ019_WT_IMS_5ul_R2_02_40V",0
"12_pyruvic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",0
"12_pyruvic acid","CJ019_WT_IMS_5ul_R3_03_40V",0
"12_pyruvic acid","Muck_1642_IMS_5ul_R2_05_20V_redo",10213
"12_pyruvic acid","Muck_1642_IMS_5ul_R2_05_40V",10422
"12_pyruvic acid","Muck_1642_IMS_5ul_R3_06_20V_redo",6161
"12_pyruvic acid","Muck_1642_IMS_5ul_R3_06_40V",2241
"12_pyruvic acid","Muck_2224_IMS_5ul_R1_07_20V_redo",825
"12_pyruvic acid","Muck_2224_IMS_5ul_R1_07_40V",3893
"12_pyruvic acid","Muck_2224_IMS_5ul_R2_08_20V_redo",8800
"12_pyruvic acid","Muck_2224_IMS_5ul_R2_08_40V",5426
"12_pyruvic acid","Muck_2224_IMS_5ul_R3_09_20V_redo",10082
"12_pyruvic acid","Muck_2224_IMS_5ul_R3_09_40V",9053
"12_pyruvic acid","Muck_5042_IMS_5ul_R1_10_20V_redo",5618
"12_pyruvic acid","Muck_5042_IMS_5ul_R1_10_40V",5260
"12_pyruvic acid","Muck_5042_IMS_5ul_R2_11_20V_redo",4032
"12_pyruvic acid","Muck_5042_IMS_5ul_R2_11_40V",1902
"12_pyruvic acid","Muck_5042_IMS_5ul_R3_12_20V_redo",1110
"12_pyruvic acid","Muck_5042_IMS_5ul_R3_12_40V",4305
"13_aspartic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",1442903
"13_aspartic acid","CJ019_WT_IMS_5ul_R1_01_40V",1269626
"13_aspartic acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",1620309
"13_aspartic acid","CJ019_WT_IMS_5ul_R2_02_40V",1295296
"13_aspartic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",1501247
"13_aspartic acid","CJ019_WT_IMS_5ul_R3_03_40V",1371270
"13_aspartic acid","Muck_1642_IMS_5ul_R2_05_20V_redo",2455684
"13_aspartic acid","Muck_1642_IMS_5ul_R2_05_40V",2045593
"13_aspartic acid","Muck_1642_IMS_5ul_R3_06_20V_redo",2845814
"13_aspartic acid","Muck_1642_IMS_5ul_R3_06_40V",2367409
"13_aspartic acid","Muck_2224_IMS_5ul_R1_07_20V_redo",2647875
"13_aspartic acid","Muck_2224_IMS_5ul_R1_07_40V",2254000
"13_aspartic acid","Muck_2224_IMS_5ul_R2_08_20V_redo",2557034
"13_aspartic acid","Muck_2224_IMS_5ul_R2_08_40V",2240836
"13_aspartic acid","Muck_2224_IMS_5ul_R3_09_20V_redo",2667426
"13_aspartic acid","Muck_2224_IMS_5ul_R3_09_40V",2182455
"13_aspartic acid","Muck_5042_IMS_5ul_R1_10_20V_redo",3052550
"13_aspartic acid","Muck_5042_IMS_5ul_R1_10_40V",2537152
"13_aspartic acid","Muck_5042_IMS_5ul_R2_11_20V_redo",2846325
"13_aspartic acid","Muck_5042_IMS_5ul_R2_11_40V",2447305
"13_aspartic acid","Muck_5042_IMS_5ul_R3_12_20V_redo",2811373
"13_aspartic acid","Muck_5042_IMS_5ul_R3_12_40V",2443911
"15_glyceraldehyde-3-P (G3P)","CJ019_WT_IMS_5ul_R1_01_20V_redo",65047
"15_glyceraldehyde-3-P (G3P)","CJ019_WT_IMS_5ul_R1_01_40V",58654
"15_glyceraldehyde-3-P (G3P)","CJ019_WT_IMS_5ul_R2_02_20V_redo",50635
"15_glyceraldehyde-3-P (G3P)","CJ019_WT_IMS_5ul_R2_02_40V",55182
"15_glyceraldehyde-3-P (G3P)","CJ019_WT_IMS_5ul_R3_03_20V_redo",59092
"15_glyceraldehyde-3-P (G3P)","CJ019_WT_IMS_5ul_R3_03_40V",64760
"15_glyceraldehyde-3-P (G3P)","Muck_1642_IMS_5ul_R2_05_20V_redo",11553
"15_glyceraldehyde-3-P (G3P)","Muck_1642_IMS_5ul_R2_05_40V",5704
"15_glyceraldehyde-3-P (G3P)","Muck_1642_IMS_5ul_R3_06_20V_redo",14427
"15_glyceraldehyde-3-P (G3P)","Muck_1642_IMS_5ul_R3_06_40V",20019
"15_glyceraldehyde-3-P (G3P)","Muck_2224_IMS_5ul_R1_07_20V_redo",15505
"15_glyceraldehyde-3-P (G3P)","Muck_2224_IMS_5ul_R1_07_40V",11624
"15_glyceraldehyde-3-P (G3P)","Muck_2224_IMS_5ul_R2_08_20V_redo",10657
"15_glyceraldehyde-3-P (G3P)","Muck_2224_IMS_5ul_R2_08_40V",11352
"15_glyceraldehyde-3-P (G3P)","Muck_2224_IMS_5ul_R3_09_20V_redo",21218
"15_glyceraldehyde-3-P (G3P)","Muck_2224_IMS_5ul_R3_09_40V",8532
"15_glyceraldehyde-3-P (G3P)","Muck_5042_IMS_5ul_R1_10_20V_redo",14590
"15_glyceraldehyde-3-P (G3P)","Muck_5042_IMS_5ul_R1_10_40V",21693
"15_glyceraldehyde-3-P (G3P)","Muck_5042_IMS_5ul_R2_11_20V_redo",6408
"15_glyceraldehyde-3-P (G3P)","Muck_5042_IMS_5ul_R2_11_40V",13678
"15_glyceraldehyde-3-P (G3P)","Muck_5042_IMS_5ul_R3_12_20V_redo",10771
"15_glyceraldehyde-3-P (G3P)","Muck_5042_IMS_5ul_R3_12_40V",4836
"16_phosphoenolpyruvate (PEP)","CJ019_WT_IMS_5ul_R1_01_20V_redo",310158
"16_phosphoenolpyruvate (PEP)","CJ019_WT_IMS_5ul_R1_01_40V",262106
"16_phosphoenolpyruvate (PEP)","CJ019_WT_IMS_5ul_R2_02_20V_redo",265043
"16_phosphoenolpyruvate (PEP)","CJ019_WT_IMS_5ul_R2_02_40V",229844
"16_phosphoenolpyruvate (PEP)","CJ019_WT_IMS_5ul_R3_03_20V_redo",218323
"16_phosphoenolpyruvate (PEP)","CJ019_WT_IMS_5ul_R3_03_40V",220811
"16_phosphoenolpyruvate (PEP)","Muck_1642_IMS_5ul_R2_05_20V_redo",163403
"16_phosphoenolpyruvate (PEP)","Muck_1642_IMS_5ul_R2_05_40V",147250
"16_phosphoenolpyruvate (PEP)","Muck_1642_IMS_5ul_R3_06_20V_redo",161733
"16_phosphoenolpyruvate (PEP)","Muck_1642_IMS_5ul_R3_06_40V",165222
"16_phosphoenolpyruvate (PEP)","Muck_2224_IMS_5ul_R1_07_20V_redo",155181
"16_phosphoenolpyruvate (PEP)","Muck_2224_IMS_5ul_R1_07_40V",155517
"16_phosphoenolpyruvate (PEP)","Muck_2224_IMS_5ul_R2_08_20V_redo",160096
"16_phosphoenolpyruvate (PEP)","Muck_2224_IMS_5ul_R2_08_40V",154230
"16_phosphoenolpyruvate (PEP)","Muck_2224_IMS_5ul_R3_09_20V_redo",87107
"16_phosphoenolpyruvate (PEP)","Muck_2224_IMS_5ul_R3_09_40V",97450
"16_phosphoenolpyruvate (PEP)","Muck_5042_IMS_5ul_R1_10_20V_redo",140727
"16_phosphoenolpyruvate (PEP)","Muck_5042_IMS_5ul_R1_10_40V",118953
"16_phosphoenolpyruvate (PEP)","Muck_5042_IMS_5ul_R2_11_20V_redo",83787
"16_phosphoenolpyruvate (PEP)","Muck_5042_IMS_5ul_R2_11_40V",89614
"16_phosphoenolpyruvate (PEP)","Muck_5042_IMS_5ul_R3_12_20V_redo",81443
"16_phosphoenolpyruvate (PEP)","Muck_5042_IMS_5ul_R3_12_40V",63421
"17_glucose 6-phosphate (G6P)","CJ019_WT_IMS_5ul_R1_01_20V_redo",15358704
"17_glucose 6-phosphate (G6P)","CJ019_WT_IMS_5ul_R1_01_40V",12901933
"17_glucose 6-phosphate (G6P)","CJ019_WT_IMS_5ul_R2_02_20V_redo",17811892
"17_glucose 6-phosphate (G6P)","CJ019_WT_IMS_5ul_R2_02_40V",13159094
"17_glucose 6-phosphate (G6P)","CJ019_WT_IMS_5ul_R3_03_20V_redo",14506082
"17_glucose 6-phosphate (G6P)","CJ019_WT_IMS_5ul_R3_03_40V",14231265
"17_glucose 6-phosphate (G6P)","Muck_1642_IMS_5ul_R2_05_20V_redo",13669502
"17_glucose 6-phosphate (G6P)","Muck_1642_IMS_5ul_R2_05_40V",12659493
"17_glucose 6-phosphate (G6P)","Muck_1642_IMS_5ul_R3_06_20V_redo",14118678
"17_glucose 6-phosphate (G6P)","Muck_1642_IMS_5ul_R3_06_40V",13172174
"17_glucose 6-phosphate (G6P)","Muck_2224_IMS_5ul_R1_07_20V_redo",14345193
"17_glucose 6-phosphate (G6P)","Muck_2224_IMS_5ul_R1_07_40V",12621556
"17_glucose 6-phosphate (G6P)","Muck_2224_IMS_5ul_R2_08_20V_redo",16208751
"17_glucose 6-phosphate (G6P)","Muck_2224_IMS_5ul_R2_08_40V",15712978
"17_glucose 6-phosphate (G6P)","Muck_2224_IMS_5ul_R3_09_20V_redo",14111442
"17_glucose 6-phosphate (G6P)","Muck_2224_IMS_5ul_R3_09_40V",13512256
"17_glucose 6-phosphate (G6P)","Muck_5042_IMS_5ul_R1_10_20V_redo",15783254
"17_glucose 6-phosphate (G6P)","Muck_5042_IMS_5ul_R1_10_40V",14874894
"17_glucose 6-phosphate (G6P)","Muck_5042_IMS_5ul_R2_11_20V_redo",13844731
"17_glucose 6-phosphate (G6P)","Muck_5042_IMS_5ul_R2_11_40V",12442837
"17_glucose 6-phosphate (G6P)","Muck_5042_IMS_5ul_R3_12_20V_redo",14826878
"17_glucose 6-phosphate (G6P)","Muck_5042_IMS_5ul_R3_12_40V",13007399
"18_fructose 6-phosphate (F6P)","CJ019_WT_IMS_5ul_R1_01_20V_redo",8987626
"18_fructose 6-phosphate (F6P)","CJ019_WT_IMS_5ul_R1_01_40V",7662189
"18_fructose 6-phosphate (F6P)","CJ019_WT_IMS_5ul_R2_02_20V_redo",9409282
"18_fructose 6-phosphate (F6P)","CJ019_WT_IMS_5ul_R2_02_40V",8329916
"18_fructose 6-phosphate (F6P)","CJ019_WT_IMS_5ul_R3_03_20V_redo",8333584
"18_fructose 6-phosphate (F6P)","CJ019_WT_IMS_5ul_R3_03_40V",7285533
"18_fructose 6-phosphate (F6P)","Muck_1642_IMS_5ul_R2_05_20V_redo",4049068
"18_fructose 6-phosphate (F6P)","Muck_1642_IMS_5ul_R2_05_40V",3376719
"18_fructose 6-phosphate (F6P)","Muck_1642_IMS_5ul_R3_06_20V_redo",3881183
"18_fructose 6-phosphate (F6P)","Muck_1642_IMS_5ul_R3_06_40V",3571780
"18_fructose 6-phosphate (F6P)","Muck_2224_IMS_5ul_R1_07_20V_redo",4157529
"18_fructose 6-phosphate (F6P)","Muck_2224_IMS_5ul_R1_07_40V",3477541
"18_fructose 6-phosphate (F6P)","Muck_2224_IMS_5ul_R2_08_20V_redo",4679218
"18_fructose 6-phosphate (F6P)","Muck_2224_IMS_5ul_R2_08_40V",4229739
"18_fructose 6-phosphate (F6P)","Muck_2224_IMS_5ul_R3_09_20V_redo",4339415
"18_fructose 6-phosphate (F6P)","Muck_2224_IMS_5ul_R3_09_40V",3421835
"18_fructose 6-phosphate (F6P)","Muck_5042_IMS_5ul_R1_10_20V_redo",4703373
"18_fructose 6-phosphate (F6P)","Muck_5042_IMS_5ul_R1_10_40V",4271166
"18_fructose 6-phosphate (F6P)","Muck_5042_IMS_5ul_R2_11_20V_redo",4411950
"18_fructose 6-phosphate (F6P)","Muck_5042_IMS_5ul_R2_11_40V",3725972
"18_fructose 6-phosphate (F6P)","Muck_5042_IMS_5ul_R3_12_20V_redo",4310498
"18_fructose 6-phosphate (F6P)","Muck_5042_IMS_5ul_R3_12_40V",4011438
"19_fructose 1,6-diphosphate (F16DP)","CJ019_WT_IMS_5ul_R1_01_20V_redo",17213812
"19_fructose 1,6-diphosphate (F16DP)","CJ019_WT_IMS_5ul_R1_01_40V",16191844
"19_fructose 1,6-diphosphate (F16DP)","CJ019_WT_IMS_5ul_R2_02_20V_redo",18846112
"19_fructose 1,6-diphosphate (F16DP)","CJ019_WT_IMS_5ul_R2_02_40V",19786086
"19_fructose 1,6-diphosphate (F16DP)","CJ019_WT_IMS_5ul_R3_03_20V_redo",17324328
"19_fructose 1,6-diphosphate (F16DP)","CJ019_WT_IMS_5ul_R3_03_40V",16504237
"19_fructose 1,6-diphosphate (F16DP)","Muck_1642_IMS_5ul_R2_05_20V_redo",1102252
"19_fructose 1,6-diphosphate (F16DP)","Muck_1642_IMS_5ul_R2_05_40V",869908
"19_fructose 1,6-diphosphate (F16DP)","Muck_1642_IMS_5ul_R3_06_20V_redo",1132403
"19_fructose 1,6-diphosphate (F16DP)","Muck_1642_IMS_5ul_R3_06_40V",1764520
"19_fructose 1,6-diphosphate (F16DP)","Muck_2224_IMS_5ul_R1_07_20V_redo",1085750
"19_fructose 1,6-diphosphate (F16DP)","Muck_2224_IMS_5ul_R1_07_40V",1626513
"19_fructose 1,6-diphosphate (F16DP)","Muck_2224_IMS_5ul_R2_08_20V_redo",1035494
"19_fructose 1,6-diphosphate (F16DP)","Muck_2224_IMS_5ul_R2_08_40V",944532
"19_fructose 1,6-diphosphate (F16DP)","Muck_2224_IMS_5ul_R3_09_20V_redo",1798365
"19_fructose 1,6-diphosphate (F16DP)","Muck_2224_IMS_5ul_R3_09_40V",1307288
"19_fructose 1,6-diphosphate (F16DP)","Muck_5042_IMS_5ul_R1_10_20V_redo",1746330
"19_fructose 1,6-diphosphate (F16DP)","Muck_5042_IMS_5ul_R1_10_40V",933790
"19_fructose 1,6-diphosphate (F16DP)","Muck_5042_IMS_5ul_R2_11_20V_redo",844306
"19_fructose 1,6-diphosphate (F16DP)","Muck_5042_IMS_5ul_R2_11_40V",827694
"19_fructose 1,6-diphosphate (F16DP)","Muck_5042_IMS_5ul_R3_12_20V_redo",1562333
"19_fructose 1,6-diphosphate (F16DP)","Muck_5042_IMS_5ul_R3_12_40V",861968
"20_6-phosphogluconic acid (6PG)","CJ019_WT_IMS_5ul_R1_01_20V_redo",364645
"20_6-phosphogluconic acid (6PG)","CJ019_WT_IMS_5ul_R1_01_40V",439836
"20_6-phosphogluconic acid (6PG)","CJ019_WT_IMS_5ul_R2_02_20V_redo",801400
"20_6-phosphogluconic acid (6PG)","CJ019_WT_IMS_5ul_R2_02_40V",675521
"20_6-phosphogluconic acid (6PG)","CJ019_WT_IMS_5ul_R3_03_20V_redo",556627
"20_6-phosphogluconic acid (6PG)","CJ019_WT_IMS_5ul_R3_03_40V",436567
"20_6-phosphogluconic acid (6PG)","Muck_1642_IMS_5ul_R2_05_20V_redo",1578799
"20_6-phosphogluconic acid (6PG)","Muck_1642_IMS_5ul_R2_05_40V",1293484
"20_6-phosphogluconic acid (6PG)","Muck_1642_IMS_5ul_R3_06_20V_redo",1244003
"20_6-phosphogluconic acid (6PG)","Muck_1642_IMS_5ul_R3_06_40V",993363
"20_6-phosphogluconic acid (6PG)","Muck_2224_IMS_5ul_R1_07_20V_redo",1130617
"20_6-phosphogluconic acid (6PG)","Muck_2224_IMS_5ul_R1_07_40V",1120251
"20_6-phosphogluconic acid (6PG)","Muck_2224_IMS_5ul_R2_08_20V_redo",1126600
"20_6-phosphogluconic acid (6PG)","Muck_2224_IMS_5ul_R2_08_40V",1156023
"20_6-phosphogluconic acid (6PG)","Muck_2224_IMS_5ul_R3_09_20V_redo",1368433
"20_6-phosphogluconic acid (6PG)","Muck_2224_IMS_5ul_R3_09_40V",1272405
"20_6-phosphogluconic acid (6PG)","Muck_5042_IMS_5ul_R1_10_20V_redo",1092541
"20_6-phosphogluconic acid (6PG)","Muck_5042_IMS_5ul_R1_10_40V",1224582
