"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription"
"01_malic acid","IMS_40V_HALM_36h_R3_06",133.014247,2,116.25,"40V",598049,120.275628240925,3.8,-0.2,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HALM_60h_R1_16",133.014247,2.04,116.25,"40V",231088,231088,2.4,-0.16,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HALM_60h_R2_17",133.014247,1.99,116.25,"40V",180481,180481,14,-0.21,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HALM_60h_R3_18",133.014247,1.99,116.25,"40V",143654,143654,5.3,-0.21,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LAHM_36h_R1_10",133.014247,2.02,116.25,"40V",241765,85.9785588752197,1.9,-0.18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"01_malic acid","IMS_40V_LAHM_36h_R2_11",133.014247,2.03,116.25,"40V",218286,227.671858774663,2.8,-0.17,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LAHM_36h_R3_12",133.014247,2,116.25,"40V",248627,76.3869011522135,4.8,-0.2,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LAHM_60h_R1_22",133.014247,2.02,116.25,"40V",183656,183656,-0.2,-0.18,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LAHM_60h_R2_23",133.014247,2,116.25,"40V",118872,65.046875,2.6,-0.2,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LAHM_60h_R3_24",133.014247,1.99,116.25,"40V",206497,344.016611295681,1.8,-0.21,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LALM_36h_R1_01",133.014247,1.98,116.25,"40V",373342,278.210408921933,2,-0.22,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LALM_36h_R2_02",133.014247,1.98,116.25,"40V",378016,415.945115257958,1.9,-0.22,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LALM_36h_R3_03",133.014247,1.99,116.25,"40V",379304,165.78082788671,11.1,-0.21,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LALM_60h_R1_13",133.014247,2,116.25,"40V",357424,357424,3.4,-0.2,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LALM_60h_R2_14",133.014247,2,116.25,"40V",363686,361360,3.9,-0.2,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_LALM_60h_R3_15",133.014247,2,116.25,"40V",363650,363650,9.1,-0.2,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"03_cis-aconitic acid","IMS_20V_HAHM_36h_R1_07",173.009162,1.86,124.63,"20V",7157,1487,-17.8,-0.14,12.02,1,0.423487452508625,0.0919238815542511,-0.0649999999999999,0.183847763108502,-0.13,11.4551298552221,-9.7,0.00125198259547347,"None"
"03_cis-aconitic acid","IMS_20V_HAHM_36h_R2_08",173.009162,1.99,124.63,"20V",26772,6921,-4.8,-0.01,12.02,2,0.50307536268329,0.0230940107675851,0.0133333333333333,0.0115470053837925,0.00666666666666666,5.8206528843421,1.8,0.119204183196411,"None"
