PrecursorName,ProductName,ProductMz,LibraryIntensity,methodCE
41_UDP-glucose,78ref,78.9578,20375,20V
41_UDP-glucose,96ref,96.9684,21510,20V
41_UDP-glucose,precursor,565.0477,6538049,40V
41_UDP-glucose,158ref,158.9246,292471,40V
41_UDP-glucose,192ref,192.9905,65336,40V
41_UDP-glucose,211ref,211.001,246527,40V
41_UDP-glucose,241ref,241.0119,460721,40V
41_UDP-glucose,272ref,272.9572,355606,40V
41_UDP-glucose,280ref,280.0233,144685,40V
41_UDP-glucose,323ref,323.0288,1015370,40V
41_UDP-glucose,384ref,384.9844,224242,40V
41_UDP-glucose,78ref,78.9578,1155934,40V
41_UDP-glucose,96ref,96.9684,828286,40V
42_glucose 1-phosphate (G1P),precursor,259.0224,2512725,20V
42_glucose 1-phosphate (G1P),138ref,138.9792,74376,20V
42_glucose 1-phosphate (G1P),241ref,241.0118,13152,20V
42_glucose 1-phosphate (G1P),78ref,78.9578,1233521,20V
42_glucose 1-phosphate (G1P),96ref,96.9684,144636,20V
45_dihydroxyacetone phosphate (DHAP),precursor,168.9907,89737,20V
45_dihydroxyacetone phosphate (DHAP),137,137.0363,31260,20V
45_dihydroxyacetone phosphate (DHAP),96ref,96.9684,38476,20V
46_glutamine,precursor,145.0619,338083,20V
46_glutamine,109ref,109.0394,5581,20V
46_glutamine,127ref,127.0503,13765,20V
46_glutamine,128ref,128.0341,657,20V
46_glutamine,74,74.0239,4887,20V
46_glutamine,84ref,84.0441,9650,20V
47_xylitol,precursor,151.0612,177959,20V
47_xylitol,101ref,101.0233,2957,20V
47_xylitol,71ref,71.0126,34999,20V
47_xylitol,73ref,73.0282,6288,20V
47_xylitol,89ref,89.0233,490,20V
48_trehalose,precursor,341.1089,1974163,20V
48_trehalose,101,101.0235,131851,20V
48_trehalose,113,113.0247,82015,20V
48_trehalose,119,119.0338,45144,20V
48_trehalose,131,131.0333,4240,20V
48_trehalose,161,161.0434,2202,20V
48_trehalose,71,71.0125,163711,20V
48_trehalose,83,83.0117,9755,20V
48_trehalose,89,89.0233,197225,20V
49_phenylalanine,precursor,164.0717,1746911,20V
49_phenylalanine,103ref,103.0539,192345,20V
49_phenylalanine,147ref,147.0442,90310,20V
49_phenylalanine,72ref,72.0078,111622,20V
49_phenylalanine,87,87.0077,679,20V
49_phenylalanine,91ref,91.0538,14533,20V
50_arabitol,precursor,151.0612,259736,20V
50_arabitol,71ref,71.0116,40091,20V
50_arabitol,78,78.9606,2536,20V
50_arabitol,89,89.0233,347,20V
51_catechol,precursor,109.0295,3530693,20V
51_catechol,108ref,108.0205,1027832,20V
51_catechol,110,110.031,93083,20V
51_catechol,65,65.0034,39903,20V
51_catechol,81ref,81.0333,79027,20V
51_catechol,91ref,91.0176,175311,20V
52_glucose,precursor,179.0561,168472,20V
52_glucose,113ref,113.0231,11171,20V
52_glucose,89ref,89.023,35860,20V
53_erythrose 4-phosphate (E4P),precursor,199.0013,84340,20V
53_erythrose 4-phosphate (E4P),168,168.9906,9932,20V
53_erythrose 4-phosphate (E4P),71,71.0125,18996,20V
53_erythrose 4-phosphate (E4P),98,98.9726,36737,20V
54_sedoheptulose 7-phosphate (S7P),precursor,289.033,7035695,20V
54_sedoheptulose 7-phosphate (S7P),111,111.0062,287,20V
54_sedoheptulose 7-phosphate (S7P),138,138.9781,218205,20V
54_sedoheptulose 7-phosphate (S7P),198,198.9961,63511,20V
54_sedoheptulose 7-phosphate (S7P),78,78.9584,748437,20V
54_sedoheptulose 7-phosphate (S7P),96,96.9679,3304626,20V
54_sedoheptulose 7-phosphate (S7P),98,98.9726,27032,20V
55_tryptophan,precursor,203.0826,1380838,20V
55_tryptophan,116ref,116.0494,243928,20V
55_tryptophan,142ref,142.0652,76861,20V
55_tryptophan,74ref,74.0235,116888,20V
56_glutathione reduced,precursor,306.0765,2519679,20V
56_glutathione reduced,128ref,128.0342,260074,20V
56_glutathione reduced,143ref,143.0452,498196,20V
56_glutathione reduced,153ref,153.0659,33742,20V
56_glutathione reduced,160ref,160.0065,105697,20V
56_glutathione reduced,167ref,167.0455,46730,20V
56_glutathione reduced,179ref,179.0454,109747,20V
56_glutathione reduced,210ref,210.0882,123121,20V
56_glutathione reduced,254ref,254.0785,49780,20V
56_glutathione reduced,74ref,74.0235,45262,20V
56_glutathione reduced,99ref,99.0552,58708,20V
57_mannitol,precursor,181.0718,793618,20V
57_mannitol,101ref,101.0232,29821,20V
57_mannitol,71ref,71.0126,102280,20V
57_mannitol,73ref,73.0282,20628,20V
57_mannitol,85ref,85.0283,16509,20V
57_mannitol,89ref,89.0232,18951,20V
58_uridine,precursor,243.0623,2839023,20V
58_uridine,108ref,108.0444,10931,20V
58_uridine,110ref,110.0236,428954,20V
58_uridine,140ref,140.0343,38316,20V
58_uridine,152ref,152.0344,62530,20V
58_uridine,182ref,182.0458,127,20V
58_uridine,200ref,200.0561,14110,20V
58_uridine,66ref,66.0336,46571,20V
58_uridine,82ref,82.0286,78070,20V
59_adenosine,precursor,266.0895,282185,20V
59_adenosine,134ref,134.0462,237215,20V
59_adenosine,135,135.0486,11439,20V
59_adenosine,140,140.0325,18684,20V
59_adenosine,200,200.0568,30062,20V
59_adenosine,82,82.0286,9105,20V
59_adenosine,87,87.0096,1203,20V
60_acetyl-CoA,precursor,808.1185,1935575,20V
60_acetyl-CoA,408ref,408.0151,6468,20V
60_acetyl-CoA,426ref,426.011,2473,20V
60_acetyl-CoA,precursor,808.1185,2174888,40V
60_acetyl-CoA,408ref,408.0151,437811,40V
60_acetyl-CoA,409,409.0146,53865,40V
60_acetyl-CoA,426ref,426.011,281862,40V
60_acetyl-CoA,427,427.0208,31690,40V
60_acetyl-CoA,461,461.058,261451,40V
60_acetyl-CoA,462,462.0609,32143,40V
60_acetyl-CoA,479,479.0654,80555,40V
60_acetyl-CoA,728,728.1533,184875,40V
60_acetyl-CoA,78,78.9604,23221,40V
61_malonyl-CoA,precursor,852.1083,179951,20V
61_malonyl-CoA,408ref,408.0081,1225,20V
61_malonyl-CoA,766,766.1055,4225,20V
61_malonyl-CoA,808ref,808.1188,48242,20V
61_malonyl-CoA,810,810.1064,997,20V
61_malonyl-CoA,834,834.0825,6847,20V
61_malonyl-CoA,precursor,852.1083,215926,40V
61_malonyl-CoA,328,328.0313,3673,40V
61_malonyl-CoA,408ref,408.0081,47526,40V
61_malonyl-CoA,409,409.0146,5502,40V
61_malonyl-CoA,461,461.0506,17885,40V
61_malonyl-CoA,479,479.0654,10225,40V
61_malonyl-CoA,766,766.1055,10114,40V
61_malonyl-CoA,808ref,808.1188,42632,40V
61_malonyl-CoA,810,810.1064,3253,40V
61_malonyl-CoA,834,834.0825,2759,40V
62_succinyl-CoA,precursor,866.124,53972,20V
62_succinyl-CoA,867,867.119,23101,20V
62_succinyl-CoA,868,868.1173,6183,20V
62_succinyl-CoA,precursor,866.124,45544,40V
62_succinyl-CoA,145,145.0509,466,40V
62_succinyl-CoA,324,324.1322,395,40V
62_succinyl-CoA,328,328.0413,492,40V
62_succinyl-CoA,408ref,408.0075,10042,40V
62_succinyl-CoA,419,419.0406,760,40V
62_succinyl-CoA,426ref,426.0279,5714,40V
62_succinyl-CoA,79,79.9563,487,40V
62_succinyl-CoA,867,867.119,1064,40V
62_succinyl-CoA,868,868.1173,268,40V
62_succinyl-CoA,96,96.9698,655,40V
63_uridine monophosphate,precursor,323.0286,3282554,20V
63_uridine monophosphate,111ref,111.0189,90238,20V
63_uridine monophosphate,138ref,138.9795,86105,20V
63_uridine monophosphate,150ref,150.9795,70501,20V
63_uridine monophosphate,192ref,192.9911,44390,20V
63_uridine monophosphate,211ref,211.0012,123259,20V
63_uridine monophosphate,280ref,280.0167,54770,20V
63_uridine monophosphate,324,324.0264,21052,20V
63_uridine monophosphate,78ref,78.9577,644871,20V
63_uridine monophosphate,96ref,96.9684,657772,20V
63_uridine monophosphate,precursor,323.0286,3248929,40V
63_uridine monophosphate,111ref,111.0189,134385,40V
63_uridine monophosphate,138ref,138.9795,4397,40V
63_uridine monophosphate,150ref,150.9795,3692,40V
63_uridine monophosphate,211ref,211.0012,426,40V
63_uridine monophosphate,78ref,78.9577,1038171,40V
63_uridine monophosphate,96ref,96.9684,396797,40V
64_L-threonine,precursor,118.051,24011,20V
64_L-threonine,74ref,74.0235,2112,20V
